date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:56:49	92363/92363	---MCZ	200	added ('OK')	text/html	etag:W/%22a580bf9fb0900dc1b81d4b628d486819%22	https://getbuilt.com/careers/	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/careers/index.html	(from https://getbuilt.com/)
16:56:50	74249/74249	---MCZ	200	added ('OK')	text/html	etag:W/%22eb306ce95155ff9e3b6ebbc2bdfffa41%22	https://getbuilt.com/news/	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/news/index.html	(from https://getbuilt.com/)
16:56:50	15590/15590	---M--	200	added ('OK')	image/jpeg	etag:%2274315a4eb32f4915cef80df529f7c7f1%22	https://getbuilt.com/wp-content/uploads/2021/10/laramar-2.jpeg	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-content/uploads/2021/10/laramar-2.jpg	(from https://getbuilt.com/)
16:56:51	76048/76048	---MCZ	200	added ('OK')	text/html	etag:W/%2240ecb2a45e9a8107f573fbb3387a0b3b%22	https://getbuilt.com/blog/	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/blog/index.html	(from https://getbuilt.com/)
16:56:51	61376/61376	---MCZ	200	added ('OK')	text/html	etag:W/%22dfb6e02273aa5540fc96039ad3338f17%22	https://getbuilt.com/webinars/	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/webinars/index.html	(from https://getbuilt.com/)
16:56:52	78330/78330	---MCZ	200	added ('OK')	text/html	etag:W/%22aee216a63681ae4d64287e25b17eab0f%22	https://getbuilt.com/events/	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/events/index.html	(from https://getbuilt.com/)
16:56:52	17201/17201	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22dba40c6cb7576052263507f2674fba13%22	https://getbuilt.com/wp-content/uploads/2021/01/first-national-bank-PA-logo-stacked.svg	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-content/uploads/2021/01/first-national-bank-PA-logo-stacked.svg	(from https://getbuilt.com/)
16:56:52	64088/64088	---MCZ	200	added ('OK')	text/html	etag:W/%228935bfca8e8d245a46e1e438f9d14318%22	https://getbuilt.com/built-club/	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/built-club/index.html	(from https://getbuilt.com/)
16:56:52	98018/98018	---M--	200	added ('OK')	image/jpeg	etag:%22e409bbd2f4b1467ad29cbc1e68cd0f24%22	https://getbuilt.com/wp-content/uploads/2021/10/d-r-horton-logo-1.jpeg	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-content/uploads/2021/10/d-r-horton-logo-1.jpg	(from https://getbuilt.com/)
16:56:52	12902/12902	---M--	200	added ('OK')	image/png	etag:%22e7b5533a264be195337e3fa7fc383e69%22	https://getbuilt.com/wp-content/uploads/2020/11/verity-homes-logo-built.png	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-content/uploads/2020/11/verity-homes-logo-built.png	(from https://getbuilt.com/)
16:56:53	10071/10071	---M--	200	added ('OK')	image/png	etag:%22cadb6269516efcf9da1b5220834d698d%22	https://getbuilt.com/wp-content/uploads/2020/11/delamo-logo-built.png	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-content/uploads/2020/11/delamo-logo-built.png	(from https://getbuilt.com/)
16:56:53	19188/19188	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fdfb74edb68799c0b8772d3bbbc93f0%22	https://getbuilt.com/wp-content/uploads/2020/11/imc-construction.svg	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-content/uploads/2020/11/imc-construction.svg	(from https://getbuilt.com/)
16:56:53	12249/12249	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22fd60d76e863177155cce12d75fb69bff%22	https://getbuilt.com/wp-content/uploads/2020/11/procopio.svg	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-content/uploads/2020/11/procopio.svg	(from https://getbuilt.com/)
16:56:53	15805/15805	---M--	200	added ('OK')	image/png	etag:%224d8adbf075e3e1c4acd346b55bcfe7af%22	https://getbuilt.com/wp-content/uploads/2021/10/discovery-land-company-logo-5.png	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-content/uploads/2021/10/discovery-land-company-logo-5.png	(from https://getbuilt.com/)
16:56:54	6386/6386	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226c89837cdecb9d88aeac783cc10508e3%22	https://getbuilt.com/wp-content/uploads/2020/10/fulton-bank-logo.svg	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-content/uploads/2020/10/fulton-bank-logo.svg	(from https://getbuilt.com/)
16:56:54	5932/5932	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22dce5c6416e8d9d8ec1b3c9ea398fbf5b%22	https://getbuilt.com/wp-content/uploads/2020/10/bancorpsouth_stacked.svg	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-content/uploads/2020/10/bancorpsouth_stacked.svg	(from https://getbuilt.com/)
16:56:54	102980/102980	---M--	200	added ('OK')	image/png	etag:%227d138b714cf292ef35cf421d84416815%22	https://getbuilt.com/wp-content/uploads/2021/10/Zions-Bancorporation-Stacked.png	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-content/uploads/2021/10/Zions-Bancorporation-Stacked.png	(from https://getbuilt.com/)
16:56:54	25144/25144	---M--	200	added ('OK')	image/png	etag:%221595b781336a1f925f82bd9e1e829a18%22	https://getbuilt.com/wp-content/uploads/2021/10/Live_Oak_Bank.png	C:/Users/hp/Desktop/New%20folder/getbuilt/getbuilt.com/wp-content/uploads/2021/10/Live_Oak_Bank.png	(from https://getbuilt.com/)
